id,price,room_type,minimum_nights,,,,,,,,,
580365544480383000,149,Entire home/apt,2,,,,,,,,,
5164039,98,Entire home/apt,3,,,,,,,,,
33448826,335,Entire home/apt,2,,,,,,,,,
6606,99,Entire home/apt,30,,,,,,,,,
9419,80,Private room,2,,,,,,,,,
9531,185,Entire home/apt,5,,,,,,,,,
9534,145,Entire home/apt,3,,,,,,,,,
9596,130,Entire home/apt,30,,,,,,,,,
9909,225,Entire home/apt,3,,,,,,,,,
25002,89,Entire home/apt,2,,,,,,,,,
677266,70,Private room,2,,,,,,,,,
30712,67,Entire home/apt,30,,,,,,,,,
68508,165,Entire home/apt,7,,,,,,,,,
107884,135,Entire home/apt,2,,,,,,,,,
677365,139,Entire home/apt,1,,,,,,,,,
116221,75,Entire home/apt,90,,,,,,,,,
681866,60,Private room,30,,,,,,,,,
689309,155,Private room,30,,,,,,,,,
119103,90,Entire home/apt,3,,,,,,,,,
132120,75,Entire home/apt,30,,,,,,,,,
703058,260,Entire home/apt,4,,,,,,,,,
132160,184,Entire home/apt,3,,,,,,,,,
704764,198,Entire home/apt,1,,,,,,,,,
151545,299,Entire home/apt,30,,,,,,,,,
706385,127,Entire home/apt,2,,,,,,,,,
170273,670,Entire home/apt,3,,,,,,,,,
708774,109,Entire home/apt,30,,,,,,,,,
202251,300,Entire home/apt,30,,,,,,,,,
723723,524,Entire home/apt,30,,,,,,,,,
210316,60,Private room,30,,,,,,,,,
723846,147,Entire home/apt,2,,,,,,,,,
748526,61,Entire home/apt,30,,,,,,,,,
219532,325,Entire home/apt,30,,,,,,,,,
757840,529,Entire home/apt,4,,,,,,,,,
226536,77,Private room,1,,,,,,,,,
789229,155,Entire home/apt,30,,,,,,,,,
226677,57,Private room,2,,,,,,,,,
241016,375,Entire home/apt,2,,,,,,,,,
241032,139,Entire home/apt,2,,,,,,,,,
254340,85,Entire home/apt,30,,,,,,,,,
793629,121,Entire home/apt,30,,,,,,,,,
260613,150,Entire home/apt,1,,,,,,,,,
841274,100,Entire home/apt,3,,,,,,,,,
278830,496,Entire home/apt,2,,,,,,,,,
844939,189,Entire home/apt,2,,,,,,,,,
284087,169,Entire home/apt,3,,,,,,,,,
303277,150,Entire home/apt,30,,,,,,,,,
846763,50,Private room,30,,,,,,,,,
338091,350,Entire home/apt,30,,,,,,,,,
877203,53,Private room,30,,,,,,,,,
879181,53,Private room,30,,,,,,,,,
340738,195,Entire home/apt,30,,,,,,,,,
902609,80,Entire home/apt,2,,,,,,,,,
904057,139,Entire home/apt,3,,,,,,,,,
353110,125,Entire home/apt,30,,,,,,,,,
942490,104,Private room,2,,,,,,,,,
356248,224,Entire home/apt,30,,,,,,,,,
356608,224,Entire home/apt,3,,,,,,,,,
365550,120,Private room,3,,,,,,,,,
948077,225,Entire home/apt,2,,,,,,,,,
368403,645,Entire home/apt,4,,,,,,,,,
1000883,135,Entire home/apt,3,,,,,,,,,
1012003,145,Private room,30,,,,,,,,,
370361,118,Private room,3,,,,,,,,,
387078,128,Entire home/apt,30,,,,,,,,,
1022135,82,Private room,30,,,,,,,,,
1023693,167,Entire home/apt,4,,,,,,,,,
392140,80,Private room,3,,,,,,,,,
1042022,135,Entire home/apt,2,,,,,,,,,
392779,162,Entire home/apt,3,,,,,,,,,
421168,90,Private room,2,,,,,,,,,
1048798,253,Entire home/apt,2,,,,,,,,,
1090449,102,Entire home/apt,2,,,,,,,,,
430610,502,Entire home/apt,5,,,,,,,,,
1097520,121,Entire home/apt,3,,,,,,,,,
1100686,63,Private room,4,,,,,,,,,
1112092,135,Entire home/apt,7,,,,,,,,,
1114695,512,Entire home/apt,25,,,,,,,,,
447523,58,Private room,3,,,,,,,,,
1122236,195,Entire home/apt,30,,,,,,,,,
461234,99,Entire home/apt,4,,,,,,,,,
475361,77,Private room,30,,,,,,,,,
1125133,120,Entire home/apt,30,,,,,,,,,
1146966,98,Private room,4,,,,,,,,,
490076,132,Entire home/apt,4,,,,,,,,,
491958,79,Entire home/apt,2,,,,,,,,,
1150519,300,Entire home/apt,30,,,,,,,,,
493591,95,Private room,30,,,,,,,,,
544433,95,Entire home/apt,30,,,,,,,,,
1157083,285,Entire home/apt,3,,,,,,,,,
1159111,204,Entire home/apt,3,,,,,,,,,
552325,229,Entire home/apt,30,,,,,,,,,
564220,60,Private room,2,,,,,,,,,
1171574,76,Entire home/apt,4,,,,,,,,,
565703,179,Entire home/apt,30,,,,,,,,,
1175308,180,Entire home/apt,4,,,,,,,,,
1190224,60,Private room,30,,,,,,,,,
566435,75,Private room,30,,,,,,,,,
573942,70,Private room,2,,,,,,,,,
1190571,60,Private room,30,,,,,,,,,
598023,129,Private room,3,,,,,,,,,
604600,282,Entire home/apt,30,,,,,,,,,
1219691,139,Entire home/apt,30,,,,,,,,,
607788,232,Private room,2,,,,,,,,,
609252,275,Entire home/apt,30,,,,,,,,,
1256892,107,Entire home/apt,2,,,,,,,,,
609610,95,Entire home/apt,3,,,,,,,,,
609701,99,Entire home/apt,4,,,,,,,,,
1260259,160,Entire home/apt,2,,,,,,,,,
1265651,170,Entire home/apt,30,,,,,,,,,
611509,80,Private room,30,,,,,,,,,
1273432,304,Entire home/apt,30,,,,,,,,,
620518,115,Entire home/apt,30,,,,,,,,,
1299597,125,Entire home/apt,3,,,,,,,,,
631445,95,Entire home/apt,30,,,,,,,,,
1301535,111,Entire home/apt,2,,,,,,,,,
635878,108,Entire home/apt,2,,,,,,,,,
637710,240,Entire home/apt,2,,,,,,,,,
1351716,92,Entire home/apt,30,,,,,,,,,
1355094,35,Private room,30,,,,,,,,,
1356339,200,Entire home/apt,30,,,,,,,,,
1365882,125,Entire home/apt,30,,,,,,,,,
654734,168,Entire home/apt,30,,,,,,,,,
661708,245,Entire home/apt,30,,,,,,,,,
1407502,70,Private room,30,,,,,,,,,
1647216,101,Entire home/apt,30,,,,,,,,,
1417880,108,Entire home/apt,3,,,,,,,,,
1684236,120,Entire home/apt,20,,,,,,,,,
1439237,88,Private room,31,,,,,,,,,
1686930,199,Entire home/apt,1,,,,,,,,,
1455269,120,Entire home/apt,3,,,,,,,,,
1484595,105,Entire home/apt,30,,,,,,,,,
1696015,375,Entire home/apt,30,,,,,,,,,
1488166,295,Entire home/apt,7,,,,,,,,,
1493349,120,Entire home/apt,30,,,,,,,,,
1494828,142,Entire home/apt,30,,,,,,,,,
1494986,171,Entire home/apt,3,,,,,,,,,
1531351,94,Entire home/apt,30,,,,,,,,,
1531458,116,Entire home/apt,30,,,,,,,,,
1696194,230,Entire home/apt,30,,,,,,,,,
1696389,300,Entire home/apt,30,,,,,,,,,
1716901,127,Entire home/apt,3,,,,,,,,,
1732441,90,Entire home/apt,2,,,,,,,,,
1556170,79,Entire home/apt,30,,,,,,,,,
1737244,71,Private room,30,,,,,,,,,
1562643,260,Entire home/apt,3,,,,,,,,,
1764100,125,Entire home/apt,30,,,,,,,,,
1579615,121,Entire home/apt,3,,,,,,,,,
1773803,92,Entire home/apt,30,,,,,,,,,
1588658,229,Entire home/apt,2,,,,,,,,,
